PostDate,PostText,PostLikes,PostComments,PostShares,PostImages,PostArticles
"enodSorptspc712r00507m0ach96 l072h,5 i22hA", We joined forces with Intel and Sulubaaï  Foundation to help monitor and restore endangered coral reefs. Read more: https://accntu.re/3eUJ4Xf #AppliedIntelligence,"techrepublic.comFor Earth Day, a tech team develops a way to heal coral reefs using AIProject: CORail, the creation of Intel, Accenture, and the Sulubaaï Environmental Foundation, aims to monitor and restore endangered coral reefs.",23 Comments,36 Shares,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Ftr2.cbsistatic.com%2Fhub%2Fi%2Fr%2F2020%2F04%2F22%2F68e758ea-1d59-46f2-bd23-80acff562496%2Fthumbnail%2F770x578%2F4b27bf2b730f1bec7e642931c70a331f%2Fimage-4.jpg&cfs=1&ext=jpg&_nc_oe=6fff3&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQFTmXcQsOtHo8Ni,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F3eUJ4Xf%3Ffbclid%3DIwAR1KyQ_4sy7YCavlI7zYLV4iiI3gVRLH3JvFaD2mhEzWbblffxRjx1FvIUc&h=AT3XQBEZx9JNa3pxts_VjNkjlyYiAEFbv8MgCytqNqeIUIl5QhJoO6NfXOnRJcb3zqcpySflUEqVwsYEj3fUu8yh9w2wc74fd4GqmKVq0FEpOqktLSX4_dbfcJ8zerMIw8dH&__tn__=H-R&c[0]=AT1fN-KZN3XCJo17_6mSVnPWlAhD749zn7A68TkDbVvoWYsjC_pbZbbkayYdIPSqUgi4sv8AhmWROLyafXQualkazGRiG9HmWPqoCsDU8j5lkcKTUaNtBO2sjg8ynATYqxuEbZP9tauKZF8PHvzZgiNdvA_aErjYawI4Ozo5eSJsJxJo
"enodSorptspc712r00504m0ach96 l072h,5 i21hA",Introducing People + Work Connect—an online employer-to-employer platform that enables companies to quickly identify and fill jobs in locations where there's need: https://accntu.re/3epPxJQ,,42 Comments,70 Shares,none,none
"MnotpsderSoag41chthr02 hig00igcif2ti3212,c ","Design for all life—not just human life. #FjordTrends 2020 explores companies that are making sustainability a business necessity, and why it matters: https://accntu.re/336NTHM",,19 Comments,23 Shares,none,none
"MnotpsderSoag41chthr02 hig00igcif1ti3212,c ",Our CHRO Ellyn Shook shares why creating a culture of equality for our people is our priority: LINK #GettingToEqual #IWD2020,,26 Shares,none,none,none
"MnotpsderSoag41chth702 cig00igrif9ti32 2,ch",How are we building a culture of equality at Accenture? Hear from our CEO Julie Sweet: https://accntu.re/2TAPmTB #GettingToEqual #IWD2020,,18 Comments,102 Shares,none,none
"tsopSronde0caM1 2 cg3,1chmh0a1a2uc80ru2ahi","This #IWD2020, we explore what a true culture of equality looks like—and we thank those who light the way. Find out more: https://accntu.re/38qDFTy #GettingToEqual",,47 Shares,none,none,none
"tsopSronde0caM1 2 cg3,1chmh0a1a2uc50ru2ahi",Equality in the workplace has never been more important. Julie Sweet shares insights at #GPTW4ALL from our #GettingToEqual research. Read the report: https://accntu.re/2vEY3mx,607,7 Comments,90 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/88276798_10163129956965374_8277941858311602176_n.png?stp=dst-png_s960x960&_nc_cat=106&ccb=1-5&_nc_sid=9267fe&_nc_ohc=Wy241J4-PC4AX93juUe&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_2FPvBib2RRoTznt38CAWCLCW7ItJE_cq0LJgXrC2__g&oe=628F430F,none
"tsopSronde0caM1 2 cg3,1chmh0a1a2uc40ru2ahi","When it comes to a culture of equality and inclusion, there’s a large gap between what leaders believe and what employees think. But ""Culture Makers"" can help make a difference. Learn more: https://accntu.re/2TAKA7g",,22 Shares,none,none,none
"FodorptnSes mc1192u9l00y20at03c7m,0ai6 ebru52trg",ICYMI: Watch the replay of our #TechVision2020 Global Webcast to find out how tech trends will affect your career in the new decade: https://accntu.re/32fyR1F,,2 Comments,10 Shares,none,none
"FodorptnSes mc1192u9l00y20at03c7m,0ai6 ebru52trg","We’re happy to be included once again on the Ethisphere #WorldsMostEthicalCompanies list. Thank you Ethisphere for recognizing all the ways in which we continually work to raise the standards of integrity for our people, our company and our world. https://accntu.re/2v6knFy",214,4 Comments,24 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/88007661_10163087952355374_1340943842702000128_n.png?stp=dst-png_s960x960&_nc_cat=101&ccb=1-5&_nc_sid=9267fe&_nc_ohc=dbh6YW-F31kAX_0UX5M&_nc_ht=scontent.ftun16-1.fna&oh=00_AT85P3X1w1cSC-7_H7WvMixv9yRrXNjS2iAdyR_6fG_8Pg&oe=628FB8AC,none
"FodorptnSes mc1192u9l00y20at03c7m,0ai6 ebru91trg","Old models, new needs. Here’s how to understand the current “tech-clash”—and adjust to survive it: https://accntu.re/2P7cx5j #TechVision2020 #IntoTheNew",,19 Shares,none,none,none
"FndtrsooSpe122uhb900e7ti86,98r i5000lcy8 im139ar",Join us this Wednesday for our #TechVision2020 webcast! Registration is free—sign up here: https://accntu.re/39LobL1,"Wed, Feb 19, 2020Global Webcast: Tech Vision 202077 people interested",none,none,none,none
"FndtrsooSpe122uhb900e7ti86,98r i5000lcy8 im139ar",none,"Wed, Feb 19, 2020Global Webcast: Tech Vision 202077 people interested",none,none,none,none
"FndtrsooSpe122uhb900e4ti86,98r i5000lcy8 im139ar",How will tech trends affect your career in the new decade? Register for our Feb. 19 #TechVision2020 Global Webcast and find out. https://accntu.re/37oqYb9,,1 Comment,7 Shares,none,none
"ptrnosoedS6ur930g0iF11y0,09a08m2 0lbr226f195 9e",Yesterday’s best practices = today’s shortcomings?,,2 Comments,15 Shares,none,none
"ptrnosoedS6ur920g0iF11y0,09a08m2 0lbr226f195 9e","Out now: #TechVision2020, our annual forecast of technology innovation trends for business leaders. Read it here: https://accntu.re/38g176M #IntoTheNew",,40 Shares,none,none,none
"ptrnosoedS6ur900g0iF11y0,09a08m2 0lbr226f195 9e","Goodbye, hand-scrawled signatures. Hello, facial recognition—and privacy concerns. Read #FjordTrends 2020 to learn how to build experiences your customers will trust: https://accntu.re/39gokWC",,15 Shares,none,none,none
"FSodntsoprey 3gbicrc063a68g012 a02,aiuturet0a0","For 20 years, we’ve delivered our annual forecast of the most important tech trends shaping business today. ",,6 Comments,28 Shares,none,none
"FSodntsoprey 3gbicrc053a68g012 a02,aiuturet0a0","What's the future of money? In #FjordTrends 2020, we look at the changing definition of value: https://accntu.re/2RTBPWj",,10 Shares,none,none,none
"JSodntsopre  3gnicyc073r68g0122a02,aiutauat0a0"," Last week's #WEF20 was insightful and inspiring—and just the start of a new decade of action in #sustainability, #ResponsibleLeadership, CEO-driven innovation & more.",,5 Comments,17 Shares,none,none
"JStoporndesi7,11u32fr97in0ha 2mlatag 03u0y9h22",A focus on sustainability is no longer optional for organizations. We are proud to be recognized by both CDP Climate A List and Corporate Knights for our environmental efforts. Find out more: https://accntu.re/37xPbg0,155,16 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/83067585_10162922044560374_3183128326105464832_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-5&_nc_sid=9267fe&_nc_ohc=Ep0r-2EzpgAAX8YtDmj&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_1MURlN88eAS0x7pEk0gq607i9He076MXxvqrILUsQZA&oe=6290213C,none
"JStoporndesi7,11u32fr97in0ha 2mlatag 02u0y9h22"," Want to know what we're up to at #WEF20? Take a look, and find more details here: https://accntu.re/2GhLZcp #AccentureAtDavos",,12 Shares,none,none,none
"JStoporndesi7,11u32fr97in0ha 2mlatag 01u0y9h22","Thank you to our people, clients and partners—it’s because of you that we’ve been named as one of Fortune’s World’s Most Admired Companies for 18 years in a row. https://accntu.re/3awxcZy",892,27 Comments,155 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/82617071_10162911929915374_3236605311800311808_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-5&_nc_sid=9267fe&_nc_ohc=oxK44vyAouYAX-Gy6GJ&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT__8q5fnRZtiIlSh2QRs-vWuGa0sVL__lrXTVkrckr7AA&oe=628F1787,none
"JprooSnetsd g5a2g cm,7ta110cyu0290gurh530n0236",We're sharing insights direct from Davos all next week—including a daily live show. Find more here: https://accntu.re/2sBJezG #WEF20 #AccentureAtDavos,,6 Comments,6 Shares,none,none
"JprooSnetsd g5a2g cm,5ta110cyu0290gurh530n0236",What does #FjordTrends predict for 2020? A realignment of what it takes to be successful: https://accntu.re/2QP41Jq,106,3 Comments,12 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/82003742_10162884204040374_6257696393117302784_n.jpg?stp=dst-jpg_s960x960&_nc_cat=103&ccb=1-5&_nc_sid=9267fe&_nc_ohc=XiZ3DOPTDiQAX8HuQw4&_nc_ht=scontent.ftun16-1.fna&oh=00_AT-RbGUpOdNYYHaWU0Ve28WWz-8Mss1iM7BEZLQG7p32cA&oe=628D1D33,none
"JprooSnetsd g5a2g cm,3ta110cyu0290gurh530n0236","Four days. 1,500 leaders. One mission to drive positive change and improve the state of the world. https://accntu.re/2QMgvBv #AccentureAtDavos #WEF20",,16 Shares,none,none,none
"JredtnospoS10,uau 8anum0981 63786y202t724a5r",Are your digital advertising techniques scaring your customers away? Learn how to put them at ease: https://accntu.re/2sXaTLx,,12 Comments,47 Shares,none,none
"drootpSsenmm,2956Dc1bh3e52lf1198 3frua96uet e00","#FjordTrends 2020 is looking into the future of business, technology and design. Are you? https://accntu.re/2EwEWM8 #IntoTheNew",127,4 Comments,8 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/82092106_10162812527590374_3553222544150495232_n.jpg?stp=dst-jpg_s960x960&_nc_cat=104&ccb=1-5&_nc_sid=9267fe&_nc_ohc=Uty2DfFOtYMAX_FR0H3&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_S_urKjSDx2tjh5OAj9wb5Ic_ArSvBMW4EdGbAUrfgRw&oe=628EFD93,none
"drootpSsenmm,2956Dc1bh2e52lf7198 3frua96uet e00","Now available: Your tech and design guide to what's emerging in 2020, from Fjord  and Accenture Interactive. Find #FjordTrends here: https://accntu.re/2tv1b2Z #IntoTheNew",,1 Comment,12 Shares,none,none
"DtsropoenSd404 973 69h2ie8m72193bhg3e21,3er71c10"," From all of us at Accenture, happy holidays!",,53 Comments,173 Shares,none,none
"DtsropoenSd400 973 69h2ie8m72193bhg3e21,3er71c10","Don't limit your expertise to just one technology—work here, and get the chance to explore more: https://accntu.re/2OuLqA2 #ChooseAllTech",,7 Comments,66 Shares,none,none
"DtsropoenSd408 973 69h2ie8m72193bhg3e11,3er71c10","Capitalism is having a midlife crisis. Our #FjordTrends 2020 report shares why we predict a redefining of growth metrics, purpose and more: https://accntu.re/2sCKYrZ #IntoTheNew",126,2 Comments,10 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/79600613_10162751138330374_2982515012209213440_n.jpg?stp=dst-jpg_s960x960&_nc_cat=106&ccb=1-5&_nc_sid=9267fe&_nc_ohc=8_hY2qQsc6UAX_Cr7IO&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9NLp1LtOcSr-u3YMZFUPB_CI3XDyDn9JGooXpzOd2zwA&oe=628F43B3,none
"rdotneoSsp8a99ceh 40e70ba21lmgme9301c r,9u01Di0",Being truly inclusive means encouraging and supporting everyone to bring their full selves to work. One of our employees had the courage to tell his story—and we’re proud to share it here. https://accntu.re/2r4ZFUq,"linkedin.comWhy World AIDS Day Still Matters: A personal storyFinding out you’re sick is never easy. When it’s just the flu or a simple cold, we take a pill and go on with life.",3 Comments,6 Shares,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fmedia.licdn.com%2Fdms%2Fimage%2FC4D12AQEBpyahPPtAuQ%2Farticle-cover_image-shrink_600_2000%2F0%3Fe%3D1582156800%26v%3Dbeta%26t%3DEzt-flbjT9shWvC74Y8gXmAjG_lH8funNo8VrFoBx1Y&cfs=1&sx=0&sy=10&sw=960&sh=501&ext=jpg&_nc_oe=6fff3&_nc_sid=632586&_nc_o2e=1&ccb=3-6&_nc_hash=AQHZobXz1xX3JVjJ,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.linkedin.com%2Fpulse%2Fwhy-world-aids-day-still-matters-personal-story-moura-pinheiro%3Ffbclid%3DIwAR38D9owPmdsVMYK0KyteX1rwCpjHXJH5lMXsg76nlKAfps7xo7xBGQkW5w&h=AT0jdwn4SlhEpbTlR55gOQiJOOb_GE1EdeUjXKbzPbxRlL_jC0LfXNLhOskGKncCfnVeKKb-rVwEqHWbTCkvTnLQHdOuPd2fEieQF688cdWSkr7JubqA8-LOiteoyNPTmCMu&__tn__=H-R&c[0]=AT2LAFxtkMx098Bg7xPftH6UM-oi7MI9vRGASR6yQB9ya_jNSQEMpGIuLtwQJ7xaUmYHmBXu0xVz9_g4nVGEoLTS4lCJslUzn27zOfCxidYAmnnsDqHmnpNnNQBiCm6cr3Ulh_8I9cGeffiDGi6nrETmu7CcphIFviGzHYtPEai8Goyv
"rdotneoSsp8a99ceh 40e10ba21lmgme9301c r,9u01Di0", Sky's the limit. Help inspire the next generation of technology talent by participating in an #HourOfCode: https://accntu.re/3523B7e,212,22 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t1.6435-9/78866910_10162720519890374_7456322319758131200_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-5&_nc_sid=9267fe&_nc_ohc=b_O4zsBx4LwAX82_AT6&_nc_ht=scontent.ftun16-1.fna&oh=00_AT89_AIXOl5inhP3W4dDDOQEuBLclJTQY0e-GN05RKyCtQ&oe=62901B0E,none
"rdotneoSsp8a99ceh 40e00ba21lmgme9301c r,9u01Di0",It's back! Our annual #FjordTrends report reveals seven design and tech predictions for 2020. Read it now: https://accntu.re/2rm3IvM #IntoTheNew,,30 Shares,none,none,none
"trsoSnopedg b90e9eg,fl911t4e1mcrD50m692uam7 6",Imagination can power innovation—and knowledge is the fuel. Join us and Code.org to help change the world: https://accntu.re/2PkI1Ux #HourOfCode,106,2 Comments,27 Shares,none,none
"trsoSnopedg b90e9eg,fl511t4e1mcrD50m692uam7 6",Make an impact today by empowering the talent of tomorrow. Join us next week for an #HourOfCode: https://accntu.re/33PeTtK,,19 Shares,none,none,none
"trsoSnopedg b90e9eg,fl411t4e1mcrD50m692uam7 6","What's next for business, technology and design? Don't miss the #FjordTrends 2020 report, coming Dec. 10. #IntoTheNew via Accenture Interactive and Fjord",,4 Shares,none,none,none
